,Marque,Carburant,puiss_max,CO2,masse_ordma_min,Carrosserie,boite,gamme2,Cat_CO2
0,ALFA-ROMEO,ES,147.0,182.0,1505,BREAK,M,MOY-SUPERIEURE,E
1,ALFA-ROMEO,GO,125.0,136.0,1565,BERLINE,M,MOY-SUPERIEURE,C
2,ALFA-ROMEO,GO,100.0,134.0,1565,BERLINE,M,MOY-SUPERIEURE,C
4,ALFA-ROMEO,GO,125.0,139.0,1565,BERLINE,M,MOY-SUPERIEURE,C
6,ALFA-ROMEO,ES,147.0,186.0,1555,BREAK,M,MOY-SUPERIEURE,E
7,ALFA-ROMEO,GO,125.0,139.0,1615,BREAK,M,MOY-SUPERIEURE,C
8,ALFA-ROMEO,GO,100.0,137.0,1615,BREAK,M,MOY-SUPERIEURE,C
10,ALFA-ROMEO,GO,125.0,142.0,1615,BREAK,M,MOY-SUPERIEURE,D
12,ALFA-ROMEO,ES,331.0,379.0,1750,CABRIOLET,M,LUXE,G
14,ALFA-ROMEO,ES,147.0,189.0,1505,COUPE,M,MOY-SUPERIEURE,E
16,ALFA-ROMEO,GO,125.0,142.0,1555,COUPE,M,MOY-SUPERIEURE,D
18,ALFA-ROMEO,GO,120.0,142.0,1555,COUPE,M,MOY-SUPERIEURE,D
20,ALFA-ROMEO,ES,88.0,149.0,1355,BERLINE,M,MOY-INFERIEURE,D
27,ALFA-ROMEO,ES,125.0,121.0,1380,BERLINE,A,MOY-INFERIEURE,C
31,ALFA-ROMEO,ES,125.0,134.0,1365,BERLINE,M,MOY-INFERIEURE,C
38,ALFA-ROMEO,ES,172.5,177.0,1395,BERLINE,M,MOY-INFERIEURE,E
40,ALFA-ROMEO,GO,77.0,114.0,1385,BERLINE,M,MOY-INFERIEURE,B
42,ALFA-ROMEO,GO,125.0,119.0,1410,BERLINE,A,MOY-INFERIEURE,B
44,ALFA-ROMEO,GO,125.0,124.0,1395,BERLINE,M,MOY-INFERIEURE,C
47,ALFA-ROMEO,ES,85.0,149.0,1355,BERLINE,M,MOY-INFERIEURE,D
49,ALFA-ROMEO,ES,120.0,121.0,1380,BERLINE,A,MOY-INFERIEURE,C
51,ALFA-ROMEO,ES,120.0,134.0,1365,BERLINE,M,MOY-INFERIEURE,C
53,ALFA-ROMEO,GO,120.0,119.0,1410,BERLINE,A,MOY-INFERIEURE,B
55,ALFA-ROMEO,GO,120.0,124.0,1395,BERLINE,M,MOY-INFERIEURE,C
57,ALFA-ROMEO,GO,103.0,119.0,1395,BERLINE,M,MOY-INFERIEURE,B
61,ALFA-ROMEO,GO,100.0,119.0,1395,BERLINE,M,MOY-INFERIEURE,B
63,ALFA-ROMEO,ES,77.0,149.0,1355,BERLINE,M,MOY-INFERIEURE,D
67,ALFA-ROMEO,GO,88.0,114.0,1280,BERLINE,M,INFERIEURE,B
69,ALFA-ROMEO,GO,85.0,114.0,1280,BERLINE,M,INFERIEURE,B
71,ALFA-ROMEO,ES,77.0,136.0,1185,BERLINE,M,INFERIEURE,C
72,ALFA-ROMEO,ES,77.0,134.0,1165,BERLINE,M,INFERIEURE,C
74,ALFA-ROMEO,ES,99.0,129.0,1210,BERLINE,M,INFERIEURE,C
76,ALFA-ROMEO,ES,125.0,139.0,1220,BERLINE,M,INFERIEURE,C
78,ALFA-ROMEO,GO,70.0,104.0,1225,BERLINE,M,INFERIEURE,B
80,ALFA-ROMEO,ES,99.0,126.0,1245,BERLINE,M,INFERIEURE,C
82,ALFA-ROMEO,GO,62.0,95.0,1225,BERLINE,M,INFERIEURE,A
86,ALFA-ROMEO,GO,62.0,90.0,1225,BERLINE,M,INFERIEURE,A
90,ALFA-ROMEO,GO,62.0,88.0,1225,BERLINE,M,INFERIEURE,A
92,ALFA-ROMEO,ES,57.0,130.0,1155,BERLINE,M,INFERIEURE,C
94,ALFA-ROMEO,ES,51.0,134.0,1155,BERLINE,M,INFERIEURE,C
96,ALFA-ROMEO,ES,62.5,98.0,1205,BERLINE,M,INFERIEURE,A
98,ALFA-ROMEO,ES,77.0,99.0,1205,BERLINE,M,INFERIEURE,A
100,ALFA-ROMEO,ES,147.0,192.0,1565,CABRIOLET,M,SUPERIEURE,E
101,ALFA-ROMEO,GO,125.0,142.0,1615,CABRIOLET,M,SUPERIEURE,D
102,ALFA-ROMEO,GO,120.0,142.0,1615,CABRIOLET,M,SUPERIEURE,D
103,ASTON MARTIN,ES,72.0,116.0,1063,BERLINE,M,INFERIEURE,B
107,ASTON MARTIN,ES,381.0,333.0,1860,COUPE,A,LUXE,G
111,ASTON MARTIN,ES,381.0,333.0,1965,COUPE,A,LUXE,G
115,ASTON MARTIN,ES,559.3,555.0,1815,COUPE,A,LUXE,G
116,ASTON MARTIN,ES,559.3,572.0,1815,COUPE,A,LUXE,G
119,ASTON MARTIN,ES,410.0,332.0,2065,COUPE,A,LUXE,G
121,ASTON MARTIN,ES,422.0,335.0,1814,COUPE,A,LUXE,G
125,ASTON MARTIN,ES,313.2,321.0,1785,COUPE,M,LUXE,G
127,ASTON MARTIN,ES,313.2,299.0,1785,COUPE,A,LUXE,G
129,ASTON MARTIN,ES,320.7,321.0,1765,COUPE,M,LUXE,G
131,ASTON MARTIN,ES,320.7,299.0,1765,COUPE,A,LUXE,G
133,ASTON MARTIN,ES,313.2,321.0,1705,COUPE,M,LUXE,G
135,ASTON MARTIN,ES,313.2,299.0,1705,COUPE,A,LUXE,G
137,ASTON MARTIN,ES,320.7,321.0,1685,COUPE,M,LUXE,G
139,ASTON MARTIN,ES,320.7,299.0,1685,COUPE,A,LUXE,G
141,ASTON MARTIN,ES,380.0,388.0,1755,COUPE,M,LUXE,G
143,ASTON MARTIN,ES,380.0,388.0,1835,COUPE,M,LUXE,G
147,ASTON MARTIN,ES,313.2,295.0,1785,COUPE,A,LUXE,G
163,ASTON MARTIN,ES,313.2,295.0,1705,COUPE,A,LUXE,G
181,AUDI,ES,136.0,139.0,1265,BERLINE,A,INFERIEURE,C
182,AUDI,ES,90.0,122.0,1200,BERLINE,A,INFERIEURE,C
184,AUDI,GO,66.0,110.0,1235,BERLINE,A,INFERIEURE,B
185,AUDI,GO,66.0,99.0,1210,BERLINE,M,INFERIEURE,A
186,AUDI,GO,77.0,99.0,1215,BERLINE,M,INFERIEURE,A
187,AUDI,ES,63.0,118.0,1115,BERLINE,M,INFERIEURE,B
188,AUDI,GO,105.0,108.0,1265,BERLINE,M,INFERIEURE,B
189,AUDI,ES,103.0,109.0,1195,BERLINE,A,INFERIEURE,B
190,AUDI,ES,103.0,109.0,1185,BERLINE,M,INFERIEURE,B
191,AUDI,ES,136.0,139.0,1290,BERLINE,A,INFERIEURE,C
192,AUDI,ES,90.0,122.0,1225,BERLINE,A,INFERIEURE,C
193,AUDI,ES,90.0,126.0,1200,BERLINE,M,INFERIEURE,C
194,AUDI,GO,66.0,110.0,1260,BERLINE,A,INFERIEURE,B
195,AUDI,GO,66.0,99.0,1235,BERLINE,M,INFERIEURE,A
196,AUDI,GO,77.0,99.0,1240,BERLINE,M,INFERIEURE,A
197,AUDI,ES,63.0,118.0,1140,BERLINE,M,INFERIEURE,B
198,AUDI,GO,105.0,108.0,1290,BERLINE,M,INFERIEURE,B
199,AUDI,ES,103.0,113.0,1220,BERLINE,A,INFERIEURE,B
200,AUDI,ES,103.0,113.0,1210,BERLINE,M,INFERIEURE,B
201,AUDI,ES,188.0,199.0,1465,BERLINE,M,INFERIEURE,E
202,AUDI,ES,92.0,139.0,1485,CABRIOLET,M,MOY-INFERIEURE,C
203,AUDI,GO,77.0,114.0,1505,CABRIOLET,M,MOY-INFERIEURE,B
204,AUDI,ES,77.0,132.0,1435,CABRIOLET,M,MOY-INFERIEURE,C
205,AUDI,ES,147.0,171.0,1560,CABRIOLET,A,MOY-INFERIEURE,E
206,AUDI,ES,147.0,169.0,1510,CABRIOLET,M,MOY-INFERIEURE,E
207,AUDI,ES,118.0,154.0,1525,CABRIOLET,A,MOY-INFERIEURE,D
208,AUDI,ES,118.0,156.0,1500,CABRIOLET,M,MOY-INFERIEURE,D
209,AUDI,GO,100.0,134.0,1570,CABRIOLET,A,MOY-INFERIEURE,C
210,AUDI,GO,100.0,119.0,1550,CABRIOLET,M,MOY-INFERIEURE,B
211,AUDI,ES,132.0,130.0,1325,BERLINE,A,MOY-INFERIEURE,C
212,AUDI,ES,132.0,135.0,1305,BERLINE,M,MOY-INFERIEURE,C
213,AUDI,ES,132.0,152.0,1425,BERLINE,A,MOY-INFERIEURE,D
214,AUDI,ES,221.0,159.0,1490,BERLINE,A,MOY-INFERIEURE,D
215,AUDI,ES,221.0,162.0,1470,BERLINE,M,MOY-INFERIEURE,E
216,AUDI,ES,77.0,112.0,1245,BERLINE,A,MOY-INFERIEURE,B
217,AUDI,ES,77.0,114.0,1225,BERLINE,M,MOY-INFERIEURE,B
218,AUDI,GO,77.0,102.0,1325,BERLINE,A,MOY-INFERIEURE,B
219,AUDI,GO,77.0,99.0,1305,BERLINE,M,MOY-INFERIEURE,A
220,AUDI,ES,90.0,120.0,1250,BERLINE,M,MOY-INFERIEURE,B
221,AUDI,ES,103.0,110.0,1280,BERLINE,A,MOY-INFERIEURE,B
222,AUDI,ES,103.0,109.0,1270,BERLINE,M,MOY-INFERIEURE,B
223,AUDI,GO,110.0,117.0,1370,BERLINE,A,MOY-INFERIEURE,B
224,AUDI,GO,110.0,106.0,1355,BERLINE,M,MOY-INFERIEURE,B
225,AUDI,GO,110.0,122.0,1435,BERLINE,M,MOY-INFERIEURE,C
226,AUDI,ES,132.0,130.0,1355,BERLINE,A,MOY-INFERIEURE,C
227,AUDI,GO,77.0,102.0,1355,BERLINE,A,MOY-INFERIEURE,B
228,AUDI,GO,77.0,99.0,1335,BERLINE,M,MOY-INFERIEURE,A
229,AUDI,ES,90.0,116.0,1300,BERLINE,A,MOY-INFERIEURE,B
230,AUDI,ES,90.0,120.0,1280,BERLINE,M,MOY-INFERIEURE,B
231,AUDI,ES,103.0,110.0,1310,BERLINE,A,MOY-INFERIEURE,B
232,AUDI,ES,103.0,112.0,1300,BERLINE,M,MOY-INFERIEURE,B
233,AUDI,GO,110.0,119.0,1395,BERLINE,A,MOY-INFERIEURE,B
234,AUDI,GO,110.0,108.0,1385,BERLINE,M,MOY-INFERIEURE,B
235,AUDI,GO,110.0,122.0,1465,BERLINE,M,MOY-INFERIEURE,C
237,AUDI,ES,88.0,154.0,1565,BREAK,M,MOY-SUPERIEURE,D
238,AUDI,GO,180.0,154.0,1755,BREAK,M,MOY-SUPERIEURE,D
239,AUDI,ES,331.0,249.0,1870,BREAK,A,MOY-SUPERIEURE,F
241,AUDI,GO,130.0,126.0,1610,BREAK,M,MOY-SUPERIEURE,C
242,AUDI,GO,130.0,144.0,1715,BREAK,A,MOY-SUPERIEURE,D
243,AUDI,GO,130.0,139.0,1675,BREAK,M,MOY-SUPERIEURE,C
244,AUDI,ES,245.0,197.0,1825,BREAK,A,MOY-SUPERIEURE,E
