,puiss_max,masse_ordma_min,Marque,Carburant,Carrosserie,boite,gamme2
0,147.0,1505,0,0,1,1,4
1,125.0,1565,0,1,0,1,4
2,100.0,1565,0,1,0,1,4
4,125.0,1565,0,1,0,1,4
6,147.0,1555,0,0,1,1,4
7,125.0,1615,0,1,1,1,4
8,100.0,1615,0,1,1,1,4
10,125.0,1615,0,1,1,1,4
12,331.0,1750,0,0,2,1,2
14,147.0,1505,0,0,4,1,4
16,125.0,1555,0,1,4,1,4
18,120.0,1555,0,1,4,1,4
20,88.0,1355,0,0,0,1,3
27,125.0,1380,0,0,0,0,3
31,125.0,1365,0,0,0,1,3
38,172.5,1395,0,0,0,1,3
40,77.0,1385,0,1,0,1,3
42,125.0,1410,0,1,0,0,3
44,125.0,1395,0,1,0,1,3
47,85.0,1355,0,0,0,1,3
49,120.0,1380,0,0,0,0,3
51,120.0,1365,0,0,0,1,3
53,120.0,1410,0,1,0,0,3
55,120.0,1395,0,1,0,1,3
57,103.0,1395,0,1,0,1,3
61,100.0,1395,0,1,0,1,3
63,77.0,1355,0,0,0,1,3
67,88.0,1280,0,1,0,1,1
69,85.0,1280,0,1,0,1,1
71,77.0,1185,0,0,0,1,1
72,77.0,1165,0,0,0,1,1
74,99.0,1210,0,0,0,1,1
76,125.0,1220,0,0,0,1,1
78,70.0,1225,0,1,0,1,1
80,99.0,1245,0,0,0,1,1
82,62.0,1225,0,1,0,1,1
86,62.0,1225,0,1,0,1,1
90,62.0,1225,0,1,0,1,1
92,57.0,1155,0,0,0,1,1
94,51.0,1155,0,0,0,1,1
96,62.5,1205,0,0,0,1,1
98,77.0,1205,0,0,0,1,1
100,147.0,1565,0,0,2,1,5
101,125.0,1615,0,1,2,1,5
102,120.0,1615,0,1,2,1,5
103,72.0,1063,1,0,0,1,1
107,381.0,1860,1,0,4,0,2
111,381.0,1965,1,0,4,0,2
119,410.0,2065,1,0,4,0,2
121,422.0,1814,1,0,4,0,2
125,313.2,1785,1,0,4,1,2
127,313.2,1785,1,0,4,0,2
129,320.7,1765,1,0,4,1,2
131,320.7,1765,1,0,4,0,2
133,313.2,1705,1,0,4,1,2
135,313.2,1705,1,0,4,0,2
137,320.7,1685,1,0,4,1,2
139,320.7,1685,1,0,4,0,2
141,380.0,1755,1,0,4,1,2
143,380.0,1835,1,0,4,1,2
147,313.2,1785,1,0,4,0,2
163,313.2,1705,1,0,4,0,2
181,136.0,1265,2,0,0,0,1
182,90.0,1200,2,0,0,0,1
184,66.0,1235,2,1,0,0,1
185,66.0,1210,2,1,0,1,1
186,77.0,1215,2,1,0,1,1
187,63.0,1115,2,0,0,1,1
188,105.0,1265,2,1,0,1,1
189,103.0,1195,2,0,0,0,1
190,103.0,1185,2,0,0,1,1
191,136.0,1290,2,0,0,0,1
192,90.0,1225,2,0,0,0,1
193,90.0,1200,2,0,0,1,1
194,66.0,1260,2,1,0,0,1
195,66.0,1235,2,1,0,1,1
196,77.0,1240,2,1,0,1,1
197,63.0,1140,2,0,0,1,1
198,105.0,1290,2,1,0,1,1
199,103.0,1220,2,0,0,0,1
200,103.0,1210,2,0,0,1,1
201,188.0,1465,2,0,0,1,1
202,92.0,1485,2,0,2,1,3
203,77.0,1505,2,1,2,1,3
204,77.0,1435,2,0,2,1,3
205,147.0,1560,2,0,2,0,3
206,147.0,1510,2,0,2,1,3
207,118.0,1525,2,0,2,0,3
208,118.0,1500,2,0,2,1,3
209,100.0,1570,2,1,2,0,3
210,100.0,1550,2,1,2,1,3
211,132.0,1325,2,0,0,0,3
212,132.0,1305,2,0,0,1,3
213,132.0,1425,2,0,0,0,3
214,221.0,1490,2,0,0,0,3
215,221.0,1470,2,0,0,1,3
216,77.0,1245,2,0,0,0,3
217,77.0,1225,2,0,0,1,3
218,77.0,1325,2,1,0,0,3
219,77.0,1305,2,1,0,1,3
220,90.0,1250,2,0,0,1,3
221,103.0,1280,2,0,0,0,3
222,103.0,1270,2,0,0,1,3
223,110.0,1370,2,1,0,0,3
224,110.0,1355,2,1,0,1,3
225,110.0,1435,2,1,0,1,3
226,132.0,1355,2,0,0,0,3
227,77.0,1355,2,1,0,0,3
228,77.0,1335,2,1,0,1,3
229,90.0,1300,2,0,0,0,3
230,90.0,1280,2,0,0,1,3
231,103.0,1310,2,0,0,0,3
232,103.0,1300,2,0,0,1,3
233,110.0,1395,2,1,0,0,3
234,110.0,1385,2,1,0,1,3
235,110.0,1465,2,1,0,1,3
237,88.0,1565,2,0,1,1,4
238,180.0,1755,2,1,1,1,4
239,331.0,1870,2,0,1,0,4
241,130.0,1610,2,1,1,1,4
242,130.0,1715,2,1,1,0,4
243,130.0,1675,2,1,1,1,4
244,245.0,1825,2,0,1,0,4
245,100.0,1610,2,1,1,1,4
246,88.0,1615,2,1,1,1,4
247,180.0,1840,2,1,1,0,4
249,150.0,1695,2,1,1,1,4
250,200.0,1790,2,0,1,0,4
251,130.0,1745,2,1,9,0,4
252,130.0,1705,2,1,9,1,4
253,180.0,1865,2,1,9,0,4
255,88.0,1505,2,0,0,1,4
256,180.0,1715,2,1,0,1,4
258,130.0,1555,2,1,0,1,4
259,130.0,1670,2,1,0,0,4
260,130.0,1635,2,1,0,1,4
261,245.0,1780,2,0,0,0,4
262,100.0,1550,2,1,0,1,4
263,88.0,1560,2,1,0,1,4
264,180.0,1795,2,1,0,0,4
266,150.0,1650,2,1,0,1,4
267,200.0,1740,2,0,0,0,4
268,180.0,1680,2,1,4,1,4
269,331.0,1790,2,0,4,0,4
271,130.0,1545,2,1,4,1,4
272,130.0,1650,2,1,4,0,4
273,130.0,1610,2,1,4,1,4
274,245.0,1750,2,0,4,0,4
275,180.0,1755,2,1,4,0,4
277,150.0,1615,2,1,4,1,4
278,200.0,1725,2,0,4,0,4
279,331.0,1995,2,0,2,0,4
281,130.0,1730,2,1,2,1,4
282,130.0,1795,2,1,2,1,4
283,245.0,1955,2,0,2,0,4
285,200.0,1925,2,0,2,0,4
286,180.0,1735,2,1,0,1,4
288,130.0,1590,2,1,0,1,4
289,130.0,1700,2,1,0,0,4
290,130.0,1670,2,1,0,1,4
291,245.0,1820,2,0,0,0,4
292,180.0,1810,2,1,9,0,2
294,150.0,1670,2,1,0,1,4
295,200.0,1790,2,0,0,0,4
298,132.0,1680,2,0,1,1,2
299,180.0,1865,2,1,1,0,2
300,309.0,2025,2,0,1,0,2
302,130.0,1715,2,1,1,1,2
304,100.0,1715,2,1,1,1,2
305,230.0,1930,2,1,1,0,2
306,228.0,1865,2,0,1,0,2
308,150.0,1705,2,0,1,1,2
309,150.0,1805,2,0,1,0,2
310,180.0,1900,2,1,1,0,2
311,150.0,1865,2,1,1,0,2
313,150.0,1765,2,1,1,1,2
314,412.0,2010,2,0,1,0,2
315,180.0,1930,2,1,9,0,2
316,230.0,1985,2,1,9,0,2
317,228.0,1930,2,0,9,0,2
318,180.0,1955,2,1,9,0,2
319,150.0,1930,2,1,9,0,2
321,132.0,1615,2,0,0,1,2
322,180.0,1795,2,1,0,0,2
323,309.0,1970,2,0,0,0,2
325,130.0,1650,2,1,0,1,2
327,100.0,1650,2,1,0,1,2
328,230.0,1865,2,1,0,0,2
329,228.0,1815,2,0,0,0,2
331,150.0,1645,2,0,0,1,2
332,150.0,1850,2,0,0,0,2
333,180.0,1835,2,1,0,0,2
334,150.0,1795,2,1,0,0,2
336,150.0,1700,2,1,0,1,2
337,180.0,1860,2,1,0,0,2
338,309.0,2020,2,0,4,0,2
339,230.0,1925,2,1,0,0,2
340,220.0,1860,2,0,0,0,2
341,228.0,1860,2,0,0,0,2
