,puiss_max,masse_ordma_min,Marque,Carrosserie,boite,gamme2
0,147.0,1505,0,1,1,4
6,147.0,1555,0,1,1,4
12,331.0,1750,0,2,1,2
14,147.0,1505,0,4,1,4
20,88.0,1355,0,0,1,3
27,125.0,1380,0,0,0,3
31,125.0,1365,0,0,1,3
38,172.5,1395,0,0,1,3
47,85.0,1355,0,0,1,3
49,120.0,1380,0,0,0,3
51,120.0,1365,0,0,1,3
63,77.0,1355,0,0,1,3
71,77.0,1185,0,0,1,1
72,77.0,1165,0,0,1,1
74,99.0,1210,0,0,1,1
76,125.0,1220,0,0,1,1
80,99.0,1245,0,0,1,1
92,57.0,1155,0,0,1,1
94,51.0,1155,0,0,1,1
96,62.5,1205,0,0,1,1
98,77.0,1205,0,0,1,1
100,147.0,1565,0,2,1,5
103,72.0,1063,1,0,1,1
107,381.0,1860,1,4,0,2
111,381.0,1965,1,4,0,2
119,410.0,2065,1,4,0,2
121,422.0,1814,1,4,0,2
125,313.2,1785,1,4,1,2
127,313.2,1785,1,4,0,2
129,320.7,1765,1,4,1,2
131,320.7,1765,1,4,0,2
133,313.2,1705,1,4,1,2
135,313.2,1705,1,4,0,2
137,320.7,1685,1,4,1,2
139,320.7,1685,1,4,0,2
141,380.0,1755,1,4,1,2
143,380.0,1835,1,4,1,2
147,313.2,1785,1,4,0,2
163,313.2,1705,1,4,0,2
181,136.0,1265,2,0,0,1
182,90.0,1200,2,0,0,1
187,63.0,1115,2,0,1,1
189,103.0,1195,2,0,0,1
190,103.0,1185,2,0,1,1
191,136.0,1290,2,0,0,1
192,90.0,1225,2,0,0,1
193,90.0,1200,2,0,1,1
197,63.0,1140,2,0,1,1
199,103.0,1220,2,0,0,1
200,103.0,1210,2,0,1,1
201,188.0,1465,2,0,1,1
202,92.0,1485,2,2,1,3
204,77.0,1435,2,2,1,3
205,147.0,1560,2,2,0,3
206,147.0,1510,2,2,1,3
207,118.0,1525,2,2,0,3
208,118.0,1500,2,2,1,3
211,132.0,1325,2,0,0,3
212,132.0,1305,2,0,1,3
213,132.0,1425,2,0,0,3
214,221.0,1490,2,0,0,3
215,221.0,1470,2,0,1,3
216,77.0,1245,2,0,0,3
217,77.0,1225,2,0,1,3
220,90.0,1250,2,0,1,3
221,103.0,1280,2,0,0,3
222,103.0,1270,2,0,1,3
226,132.0,1355,2,0,0,3
229,90.0,1300,2,0,0,3
230,90.0,1280,2,0,1,3
231,103.0,1310,2,0,0,3
232,103.0,1300,2,0,1,3
237,88.0,1565,2,1,1,4
239,331.0,1870,2,1,0,4
244,245.0,1825,2,1,0,4
250,200.0,1790,2,1,0,4
255,88.0,1505,2,0,1,4
261,245.0,1780,2,0,0,4
267,200.0,1740,2,0,0,4
269,331.0,1790,2,4,0,4
274,245.0,1750,2,4,0,4
278,200.0,1725,2,4,0,4
279,331.0,1995,2,2,0,4
283,245.0,1955,2,2,0,4
285,200.0,1925,2,2,0,4
291,245.0,1820,2,0,0,4
295,200.0,1790,2,0,0,4
298,132.0,1680,2,1,1,2
300,309.0,2025,2,1,0,2
306,228.0,1865,2,1,0,2
308,150.0,1705,2,1,1,2
309,150.0,1805,2,1,0,2
314,412.0,2010,2,1,0,2
317,228.0,1930,2,9,0,2
321,132.0,1615,2,0,1,2
323,309.0,1970,2,0,0,2
329,228.0,1815,2,0,0,2
331,150.0,1645,2,0,1,2
332,150.0,1850,2,0,0,2
338,309.0,2020,2,4,0,2
340,220.0,1860,2,0,0,2
341,228.0,1860,2,0,0,2
343,150.0,1865,2,0,0,2
347,412.0,1995,2,0,0,2
352,368.0,2130,2,0,0,2
353,309.0,2020,2,0,0,2
354,213.0,1955,2,0,0,2
359,309.0,1970,2,0,0,2
360,382.0,2050,2,0,0,2
361,213.0,1905,2,0,0,2
364,125.0,1630,2,9,0,5
371,155.0,1640,2,9,0,5
379,132.0,1795,2,9,1,5
380,165.0,1830,2,9,0,5
381,165.0,1795,2,9,1,5
384,245.0,2345,2,9,0,2
385,200.0,2325,2,9,0,2
387,316.0,1660,2,4,0,2
388,316.0,1635,2,4,1,2
389,404.0,1670,2,4,0,2
390,404.0,1645,2,4,1,2
391,386.0,1720,2,4,0,2
392,386.0,1695,2,4,1,2
393,316.0,1760,2,4,0,2
394,316.0,1735,2,4,1,2
395,386.0,1820,2,4,0,2
396,386.0,1795,2,4,1,2
397,118.0,1355,2,4,0,2
398,118.0,1335,2,4,1,2
399,200.0,1505,2,4,0,2
400,200.0,1485,2,4,1,2
401,250.0,1550,2,4,0,2
402,250.0,1525,2,4,1,2
403,265.0,1550,2,4,0,2
404,265.0,1525,2,4,1,2
405,155.0,1375,2,4,0,2
406,155.0,1355,2,4,1,2
407,155.0,1455,2,4,0,2
410,118.0,1395,2,4,0,2
411,118.0,1380,2,4,1,2
412,200.0,1570,2,4,0,2
413,200.0,1550,2,4,1,2
414,250.0,1610,2,4,0,2
415,250.0,1585,2,4,1,2
416,265.0,1610,2,4,0,2
417,265.0,1585,2,4,1,2
418,155.0,1395,2,4,0,2
419,155.0,1390,2,4,1,2
420,155.0,1500,2,4,0,2
423,460.0,2395,3,4,0,2
425,423.0,2395,3,4,0,2
427,373.0,2370,3,4,0,2
429,460.0,2570,3,4,0,2
431,423.0,2570,3,2,0,2
433,373.0,2545,3,2,0,2
435,460.0,2565,3,0,0,2
437,460.0,2550,3,0,0,2
439,373.0,2505,3,0,0,2
441,373.0,2492,3,0,0,2
443,377.0,2760,3,0,0,2
446,75.0,1365,4,0,1,3
447,75.0,1365,4,0,1,3
449,90.0,1320,4,0,1,3
450,90.0,1350,4,0,0,3
452,100.0,1385,4,0,0,3
453,100.0,1365,4,0,1,3
454,160.0,1440,4,0,0,3
455,160.0,1420,4,0,1,3
458,105.0,1495,4,0,1,3
459,105.0,1520,4,0,0,3
464,125.0,1390,4,0,0,3
465,125.0,1370,4,0,1,3
468,105.0,1340,4,0,1,3
469,105.0,1365,4,0,0,3
471,125.0,1370,4,0,1,3
474,125.0,1375,4,4,1,3
475,125.0,1395,4,4,0,3
476,125.0,1505,4,2,1,3
477,125.0,1535,4,2,0,3
486,125.0,1365,4,0,1,3
487,125.0,1385,4,0,0,3
504,160.0,1480,4,4,1,3
505,160.0,1505,4,4,0,3
506,160.0,1585,4,0,1,3
507,160.0,1615,4,2,0,3
509,190.0,1450,4,0,1,3
510,190.0,1475,4,0,0,3
511,225.0,1530,4,4,1,3
512,225.0,1545,4,4,0,3
513,225.0,1665,4,2,1,3
514,225.0,1675,4,2,0,3
515,235.0,1590,4,0,0,3
516,235.0,1520,4,0,0,3
517,235.0,1505,4,0,1,3
518,235.0,1595,4,0,0,3
519,100.0,1545,4,1,0,5
520,100.0,1545,4,1,0,5
521,100.0,1525,4,1,1,5
522,100.0,1525,4,1,1,5
528,100.0,1480,4,0,0,5
529,100.0,1480,4,0,0,5
530,100.0,1460,4,0,1,5
531,100.0,1460,4,0,1,5
544,105.0,1505,4,1,1,5
545,105.0,1535,4,1,0,5
552,135.0,1635,4,0,0,5
553,135.0,1635,4,0,0,5
558,125.0,1670,4,2,1,5
559,125.0,1700,4,2,0,5
562,125.0,1435,4,4,1,5
563,125.0,1465,4,4,0,5
568,135.0,1560,4,0,0,5
569,135.0,1560,4,1,0,5
570,135.0,1540,4,0,1,5
571,135.0,1540,4,1,1,5
572,135.0,1635,4,1,0,5
573,135.0,1635,4,1,0,5
574,135.0,1615,4,1,1,5
575,135.0,1615,4,1,1,5
582,125.0,1505,4,1,1,5
583,125.0,1535,4,1,0,5
589,135.0,1495,4,0,0,5
590,135.0,1495,4,0,0,5
591,135.0,1475,4,0,1,5
592,135.0,1475,4,0,1,5
593,135.0,1565,4,0,0,5
594,135.0,1565,4,0,0,5
595,135.0,1545,4,0,1,5
596,135.0,1545,4,0,1,5
607,125.0,1465,4,0,1,5
608,160.0,1730,4,2,1,5
609,160.0,1760,4,2,0,5
612,160.0,1505,4,4,1,5
613,160.0,1535,4,4,0,5
614,160.0,1605,4,4,1,5
615,160.0,1625,4,4,0,5
619,160.0,1565,4,1,1,5
620,160.0,1595,4,4,0,5
621,160.0,1715,4,1,1,5
622,160.0,1735,4,1,0,5
626,180.0,1680,4,1,0,5
627,180.0,1660,4,1,1,5
628,180.0,1530,4,0,0,5
629,180.0,1505,4,0,1,5
630,180.0,1610,4,0,0,5
631,180.0,1595,4,0,1,5
632,200.0,1780,4,2,1,5
633,200.0,1795,4,2,0,5
636,200.0,1640,4,4,1,5
637,200.0,1655,4,4,0,5
638,200.0,1540,4,4,1,5
639,200.0,1555,4,4,0,5
645,200.0,1715,4,1,1,5
646,200.0,1735,4,1,0,5
647,200.0,1615,4,1,1,5
648,200.0,1630,4,1,0,5
654,225.0,1810,4,2,1,5
655,225.0,1825,4,2,0,5
656,225.0,1680,4,4,1,5
657,225.0,1695,4,4,0,5
658,225.0,1600,4,4,1,5
659,225.0,1615,4,4,0,5
661,225.0,1660,4,1,0,5
662,225.0,1650,4,1,1,5
663,225.0,1730,4,1,0,5
664,225.0,1735,4,1,1,5
665,225.0,1750,4,1,0,5
666,225.0,1670,4,1,1,5
667,225.0,1685,4,1,0,5
669,225.0,1595,4,0,0,5
670,225.0,1585,4,0,1,5
671,225.0,1665,4,0,0,5
672,225.0,1655,4,0,1,5
679,135.0,1790,4,1,0,2
680,135.0,1790,4,1,0,2
