,puiss_max,masse_ordma_min,Marque,Carrosserie,boite,gamme2
1,125.0,1565,0,0,1,4
2,100.0,1565,0,0,1,4
4,125.0,1565,0,0,1,4
7,125.0,1615,0,1,1,4
8,100.0,1615,0,1,1,4
10,125.0,1615,0,1,1,4
16,125.0,1555,0,4,1,4
18,120.0,1555,0,4,1,4
40,77.0,1385,0,0,1,3
42,125.0,1410,0,0,0,3
44,125.0,1395,0,0,1,3
53,120.0,1410,0,0,0,3
55,120.0,1395,0,0,1,3
57,103.0,1395,0,0,1,3
61,100.0,1395,0,0,1,3
67,88.0,1280,0,0,1,1
69,85.0,1280,0,0,1,1
78,70.0,1225,0,0,1,1
82,62.0,1225,0,0,1,1
86,62.0,1225,0,0,1,1
90,62.0,1225,0,0,1,1
101,125.0,1615,0,2,1,5
102,120.0,1615,0,2,1,5
184,66.0,1235,2,0,0,1
185,66.0,1210,2,0,1,1
186,77.0,1215,2,0,1,1
188,105.0,1265,2,0,1,1
194,66.0,1260,2,0,0,1
195,66.0,1235,2,0,1,1
196,77.0,1240,2,0,1,1
198,105.0,1290,2,0,1,1
203,77.0,1505,2,2,1,3
209,100.0,1570,2,2,0,3
210,100.0,1550,2,2,1,3
218,77.0,1325,2,0,0,3
219,77.0,1305,2,0,1,3
223,110.0,1370,2,0,0,3
224,110.0,1355,2,0,1,3
225,110.0,1435,2,0,1,3
227,77.0,1355,2,0,0,3
228,77.0,1335,2,0,1,3
233,110.0,1395,2,0,0,3
234,110.0,1385,2,0,1,3
235,110.0,1465,2,0,1,3
238,180.0,1755,2,1,1,4
241,130.0,1610,2,1,1,4
242,130.0,1715,2,1,0,4
243,130.0,1675,2,1,1,4
245,100.0,1610,2,1,1,4
246,88.0,1615,2,1,1,4
247,180.0,1840,2,1,0,4
249,150.0,1695,2,1,1,4
251,130.0,1745,2,9,0,4
252,130.0,1705,2,9,1,4
253,180.0,1865,2,9,0,4
256,180.0,1715,2,0,1,4
258,130.0,1555,2,0,1,4
259,130.0,1670,2,0,0,4
260,130.0,1635,2,0,1,4
262,100.0,1550,2,0,1,4
263,88.0,1560,2,0,1,4
264,180.0,1795,2,0,0,4
266,150.0,1650,2,0,1,4
268,180.0,1680,2,4,1,4
271,130.0,1545,2,4,1,4
272,130.0,1650,2,4,0,4
273,130.0,1610,2,4,1,4
275,180.0,1755,2,4,0,4
277,150.0,1615,2,4,1,4
281,130.0,1730,2,2,1,4
282,130.0,1795,2,2,1,4
286,180.0,1735,2,0,1,4
288,130.0,1590,2,0,1,4
289,130.0,1700,2,0,0,4
290,130.0,1670,2,0,1,4
292,180.0,1810,2,9,0,2
294,150.0,1670,2,0,1,4
299,180.0,1865,2,1,0,2
302,130.0,1715,2,1,1,2
304,100.0,1715,2,1,1,2
305,230.0,1930,2,1,0,2
310,180.0,1900,2,1,0,2
311,150.0,1865,2,1,0,2
313,150.0,1765,2,1,1,2
315,180.0,1930,2,9,0,2
316,230.0,1985,2,9,0,2
318,180.0,1955,2,9,0,2
319,150.0,1930,2,9,0,2
322,180.0,1795,2,0,0,2
325,130.0,1650,2,0,1,2
327,100.0,1650,2,0,1,2
328,230.0,1865,2,0,0,2
333,180.0,1835,2,0,0,2
334,150.0,1795,2,0,0,2
336,150.0,1700,2,0,1,2
337,180.0,1860,2,0,0,2
339,230.0,1925,2,0,0,2
344,180.0,1895,2,0,0,2
345,150.0,1860,2,0,0,2
350,258.0,2120,2,0,0,2
351,184.0,1965,2,0,0,2
355,150.0,1920,2,0,0,2
356,184.0,2005,2,0,0,2
357,258.0,2070,2,0,0,2
358,184.0,1915,2,0,0,2
362,150.0,1870,2,0,0,2
363,184.0,1955,2,0,0,2
365,103.0,1520,2,9,1,5
366,103.0,1645,2,9,0,5
367,103.0,1610,2,9,1,5
368,130.0,1565,2,9,1,5
369,130.0,1660,2,9,0,5
370,130.0,1650,2,9,1,5
373,180.0,1935,2,9,0,5
374,130.0,1895,2,9,0,5
375,130.0,1830,2,9,1,5
376,230.0,1995,2,9,0,5
377,110.0,1755,2,9,1,5
378,110.0,1830,2,9,1,5
382,250.0,2515,2,9,0,2
383,150.0,2375,2,9,0,2
386,180.0,2375,2,9,0,2
408,125.0,1490,2,4,0,2
409,125.0,1465,2,4,1,2
421,125.0,1535,2,4,0,2
422,125.0,1505,2,4,1,2
445,70.0,1380,4,0,1,3
448,70.0,1385,4,0,1,3
451,85.0,1370,4,0,1,3
456,85.0,1420,4,0,0,3
457,85.0,1385,4,0,1,3
460,105.0,1560,4,2,1,3
461,105.0,1575,4,2,0,3
462,105.0,1395,4,4,1,3
463,105.0,1420,4,4,0,3
466,105.0,1385,4,0,1,3
467,105.0,1410,4,0,0,3
472,105.0,1420,4,0,0,3
473,105.0,1395,4,0,1,3
478,130.0,1580,4,2,1,3
479,130.0,1590,4,2,0,3
480,130.0,1450,4,4,1,3
481,130.0,1450,4,4,0,3
482,135.0,1415,4,0,1,3
483,135.0,1415,4,0,1,3
484,135.0,1495,4,0,1,3
485,135.0,1495,4,0,1,3
488,130.0,1440,4,0,1,3
489,130.0,1440,4,0,0,3
490,135.0,1500,4,0,1,3
491,135.0,1500,4,0,1,3
492,135.0,1440,4,0,0,3
493,135.0,1440,4,0,0,3
494,135.0,1420,4,0,1,3
495,135.0,1420,4,0,1,3
496,160.0,1480,4,0,0,3
497,160.0,1465,4,0,1,3
498,150.0,1615,4,2,1,3
499,150.0,1615,4,2,0,3
500,150.0,1495,4,4,1,3
501,150.0,1495,4,4,0,3
502,150.0,1485,4,0,1,3
503,150.0,1485,4,0,0,3
508,85.0,1385,4,0,1,3
523,85.0,1570,4,1,0,5
524,85.0,1570,4,1,0,5
525,85.0,1550,4,1,1,5
526,85.0,1550,4,1,1,5
532,85.0,1505,4,0,0,5
533,85.0,1505,4,0,0,5
534,85.0,1485,4,0,1,5
535,85.0,1485,4,0,1,5
536,105.0,1635,4,0,0,5
537,105.0,1635,4,0,0,5
538,105.0,1615,4,0,1,5
539,105.0,1615,4,0,1,5
540,105.0,1570,4,1,0,5
541,105.0,1570,4,1,0,5
542,105.0,1550,4,1,1,5
543,105.0,1550,4,1,1,5
546,105.0,1565,4,1,1,5
547,105.0,1580,4,1,0,5
548,105.0,1505,4,0,0,5
549,105.0,1505,4,0,0,5
550,105.0,1485,4,0,1,5
551,105.0,1485,4,0,1,5
554,135.0,1650,4,0,0,5
555,135.0,1650,4,0,0,5
556,135.0,1640,4,0,1,5
557,135.0,1640,4,0,1,5
560,135.0,1730,4,2,1,5
561,135.0,1745,4,2,0,5
564,135.0,1590,4,4,1,5
565,135.0,1605,4,4,0,5
566,135.0,1495,4,4,1,5
567,135.0,1505,4,4,0,5
576,135.0,1660,4,1,0,5
577,135.0,1660,4,1,0,5
578,135.0,1650,4,1,1,5
579,135.0,1650,4,1,1,5
580,120.0,1575,4,1,0,5
581,120.0,1565,4,1,1,5
584,135.0,1580,4,1,1,5
585,135.0,1595,4,1,0,5
586,135.0,1665,4,1,1,5
587,135.0,1680,4,1,0,5
588,120.0,1580,4,1,1,5
597,135.0,1505,4,0,0,5
598,135.0,1505,4,0,0,5
599,135.0,1495,4,0,1,5
600,135.0,1495,4,0,1,5
601,135.0,1595,4,0,0,5
602,135.0,1595,4,0,0,5
603,135.0,1585,4,0,1,5
604,135.0,1585,4,0,1,5
605,120.0,1505,4,0,0,5
606,120.0,1495,4,0,1,5
610,150.0,1815,4,2,1,5
611,150.0,1830,4,2,0,5
616,150.0,1590,4,4,1,5
617,150.0,1605,4,4,0,5
618,160.0,1615,4,1,1,5
623,150.0,1665,4,1,1,5
624,150.0,1680,4,1,0,5
625,160.0,1550,4,0,1,5
634,180.0,1825,4,2,1,5
635,180.0,1840,4,2,0,5
640,180.0,1700,4,4,1,5
641,180.0,1715,4,4,0,5
642,180.0,1600,4,4,1,5
643,180.0,1615,4,4,0,5
644,190.0,1750,4,1,0,5
649,180.0,1775,4,1,1,5
