"Marque;Carburant;puiss_max;masse_ordma_min;Carrosserie;boite;gamme2;CO2;Cat_CO2"
"ALFA-ROMEO;ES;147.0;1505;BREAK;M;MOY-SUPERIEURE;182.0;E"
"ALFA-ROMEO;GO;125.0;1565;BERLINE;M;MOY-SUPERIEURE;136.0;C"
"ALFA-ROMEO;GO;100.0;1565;BERLINE;M;MOY-SUPERIEURE;134.0;C"
"ALFA-ROMEO;GO;125.0;1565;BERLINE;M;MOY-SUPERIEURE;139.0;C"
"ALFA-ROMEO;ES;147.0;1555;BREAK;M;MOY-SUPERIEURE;186.0;E"
"ALFA-ROMEO;GO;125.0;1615;BREAK;M;MOY-SUPERIEURE;139.0;C"
"ALFA-ROMEO;GO;100.0;1615;BREAK;M;MOY-SUPERIEURE;137.0;C"
"ALFA-ROMEO;GO;125.0;1615;BREAK;M;MOY-SUPERIEURE;142.0;D"
"ALFA-ROMEO;ES;331.0;1750;CABRIOLET;M;LUXE;379.0;G"
"ALFA-ROMEO;ES;147.0;1505;COUPE;M;MOY-SUPERIEURE;189.0;E"
"ALFA-ROMEO;GO;125.0;1555;COUPE;M;MOY-SUPERIEURE;142.0;D"
"ALFA-ROMEO;GO;120.0;1555;COUPE;M;MOY-SUPERIEURE;142.0;D"
"ALFA-ROMEO;ES;88.0;1355;BERLINE;M;MOY-INFERIEURE;149.0;D"
"ALFA-ROMEO;ES;125.0;1380;BERLINE;A;MOY-INFERIEURE;121.0;C"
"ALFA-ROMEO;ES;125.0;1365;BERLINE;M;MOY-INFERIEURE;134.0;C"
"ALFA-ROMEO;ES;172.5;1395;BERLINE;M;MOY-INFERIEURE;177.0;E"
"ALFA-ROMEO;GO;77.0;1385;BERLINE;M;MOY-INFERIEURE;114.0;B"
"ALFA-ROMEO;GO;125.0;1410;BERLINE;A;MOY-INFERIEURE;119.0;B"
"ALFA-ROMEO;GO;125.0;1395;BERLINE;M;MOY-INFERIEURE;124.0;C"
"ALFA-ROMEO;ES;85.0;1355;BERLINE;M;MOY-INFERIEURE;149.0;D"
"ALFA-ROMEO;ES;120.0;1380;BERLINE;A;MOY-INFERIEURE;121.0;C"
"ALFA-ROMEO;ES;120.0;1365;BERLINE;M;MOY-INFERIEURE;134.0;C"
"ALFA-ROMEO;GO;120.0;1410;BERLINE;A;MOY-INFERIEURE;119.0;B"
"ALFA-ROMEO;GO;120.0;1395;BERLINE;M;MOY-INFERIEURE;124.0;C"
"ALFA-ROMEO;GO;103.0;1395;BERLINE;M;MOY-INFERIEURE;119.0;B"
"ALFA-ROMEO;GO;100.0;1395;BERLINE;M;MOY-INFERIEURE;119.0;B"
"ALFA-ROMEO;ES;77.0;1355;BERLINE;M;MOY-INFERIEURE;149.0;D"
"ALFA-ROMEO;GO;88.0;1280;BERLINE;M;INFERIEURE;114.0;B"
"ALFA-ROMEO;GO;85.0;1280;BERLINE;M;INFERIEURE;114.0;B"
"ALFA-ROMEO;ES;77.0;1185;BERLINE;M;INFERIEURE;136.0;C"
"ALFA-ROMEO;ES;77.0;1165;BERLINE;M;INFERIEURE;134.0;C"
"ALFA-ROMEO;ES;99.0;1210;BERLINE;M;INFERIEURE;129.0;C"
"ALFA-ROMEO;ES;125.0;1220;BERLINE;M;INFERIEURE;139.0;C"
"ALFA-ROMEO;GO;70.0;1225;BERLINE;M;INFERIEURE;104.0;B"
"ALFA-ROMEO;ES;99.0;1245;BERLINE;M;INFERIEURE;126.0;C"
"ALFA-ROMEO;GO;62.0;1225;BERLINE;M;INFERIEURE;95.0;A"
"ALFA-ROMEO;GO;62.0;1225;BERLINE;M;INFERIEURE;90.0;A"
"ALFA-ROMEO;GO;62.0;1225;BERLINE;M;INFERIEURE;88.0;A"
"ALFA-ROMEO;ES;57.0;1155;BERLINE;M;INFERIEURE;130.0;C"
"ALFA-ROMEO;ES;51.0;1155;BERLINE;M;INFERIEURE;134.0;C"
"ALFA-ROMEO;ES;62.5;1205;BERLINE;M;INFERIEURE;98.0;A"
"ALFA-ROMEO;ES;77.0;1205;BERLINE;M;INFERIEURE;99.0;A"
"ALFA-ROMEO;ES;147.0;1565;CABRIOLET;M;SUPERIEURE;192.0;E"
"ALFA-ROMEO;GO;125.0;1615;CABRIOLET;M;SUPERIEURE;142.0;D"
"ALFA-ROMEO;GO;120.0;1615;CABRIOLET;M;SUPERIEURE;142.0;D"
"ASTON MARTIN;ES;72.0;1063;BERLINE;M;INFERIEURE;116.0;B"
"ASTON MARTIN;ES;381.0;1860;COUPE;A;LUXE;333.0;G"
"ASTON MARTIN;ES;381.0;1965;COUPE;A;LUXE;333.0;G"
"ASTON MARTIN;ES;559.3;1815;COUPE;A;LUXE;555.0;G"
"ASTON MARTIN;ES;559.3;1815;COUPE;A;LUXE;572.0;G"
"ASTON MARTIN;ES;410.0;2065;COUPE;A;LUXE;332.0;G"
"ASTON MARTIN;ES;422.0;1814;COUPE;A;LUXE;335.0;G"
"ASTON MARTIN;ES;313.2;1785;COUPE;M;LUXE;321.0;G"
"ASTON MARTIN;ES;313.2;1785;COUPE;A;LUXE;299.0;G"
"ASTON MARTIN;ES;320.7;1765;COUPE;M;LUXE;321.0;G"
"ASTON MARTIN;ES;320.7;1765;COUPE;A;LUXE;299.0;G"
"ASTON MARTIN;ES;313.2;1705;COUPE;M;LUXE;321.0;G"
"ASTON MARTIN;ES;313.2;1705;COUPE;A;LUXE;299.0;G"
"ASTON MARTIN;ES;320.7;1685;COUPE;M;LUXE;321.0;G"
"ASTON MARTIN;ES;320.7;1685;COUPE;A;LUXE;299.0;G"
"ASTON MARTIN;ES;380.0;1755;COUPE;M;LUXE;388.0;G"
"ASTON MARTIN;ES;380.0;1835;COUPE;M;LUXE;388.0;G"
"ASTON MARTIN;ES;313.2;1785;COUPE;A;LUXE;295.0;G"
"ASTON MARTIN;ES;313.2;1705;COUPE;A;LUXE;295.0;G"
"AUDI;ES;136.0;1265;BERLINE;A;INFERIEURE;139.0;C"
