,Cat_CO2
0,E
1,C
2,C
4,C
6,E
7,C
8,C
10,D
12,G
14,E
16,D
18,D
20,D
27,C
31,C
38,E
40,B
42,B
44,C
47,D
49,C
51,C
53,B
55,C
57,B
61,B
63,D
67,B
69,B
71,C
72,C
74,C
76,C
78,B
80,C
82,A
86,A
90,A
92,C
94,C
96,A
98,A
100,E
101,D
102,D
103,B
107,G
111,G
119,G
121,G
125,G
127,G
129,G
131,G
133,G
135,G
137,G
139,G
141,G
143,G
147,G
163,G
181,C
182,C
184,B
185,A
186,A
187,B
188,B
189,B
190,B
191,C
192,C
193,C
194,B
195,A
196,A
197,B
198,B
199,B
200,B
201,E
202,C
203,B
204,C
205,E
206,E
207,D
208,D
209,C
210,B
211,C
212,C
213,D
214,D
215,E
216,B
217,B
218,B
219,A
220,B
221,B
222,B
223,B
224,B
225,C
226,C
227,B
228,A
229,B
230,B
231,B
232,B
233,B
234,B
235,C
237,D
238,D
239,F
241,C
242,D
243,C
244,E
245,B
246,C
247,D
249,C
250,E
251,D
252,D
253,D
255,D
256,D
258,B
259,C
260,C
261,E
262,B
263,B
264,D
266,C
267,E
268,D
269,F
271,B
272,C
273,C
274,E
275,D
277,C
278,E
279,F
281,C
282,D
283,E
285,E
286,D
288,B
289,C
290,C
291,E
292,D
294,C
295,E
298,D
299,D
300,F
302,C
304,C
305,E
306,E
308,E
309,E
310,D
311,D
313,C
314,F
315,E
316,E
317,F
318,E
319,D
321,D
322,D
323,F
325,C
327,C
328,E
329,E
331,E
332,E
333,D
334,D
336,C
337,D
338,F
339,E
340,E
341,E
343,E
344,D
345,D
347,F
350,E
351,E
352,G
353,F
354,F
355,D
356,E
357,E
358,E
359,F
360,F
361,F
362,D
363,E
364,E
365,C
366,D
367,D
368,D
369,D
370,D
371,E
373,E
374,E
375,D
376,E
377,C
378,D
379,E
380,E
381,E
382,F
383,E
384,F
385,F
386,E
387,G
388,G
389,G
390,G
391,G
392,G
393,G
394,G
395,G
396,G
397,D
398,D
399,E
400,E
401,E
402,F
403,E
404,F
405,E
406,D
407,E
408,D
409,C
410,D
411,D
412,E
413,E
414,E
415,F
416,E
417,F
418,E
419,D
420,E
421,D
422,D
423,G
425,G
427,F
429,G
431,G
433,G
435,G
437,G
439,G
441,G
443,G
445,B
446,C
447,C
448,B
449,D
450,D
451,B
452,C
453,C
454,D
455,D
456,B
457,B
458,D
459,E
460,C
461,D
462,B
463,C
464,C
465,C
466,B
467,C
468,D
469,D
471,C
472,B
473,B
474,D
475,D
476,D
477,E
478,C
479,D
480,C
481,C
482,B
483,C
484,C
485,C
486,D
487,D
488,C
489,C
490,C
491,C
492,B
493,B
494,B
495,C
496,C
497,C
498,C
499,D
500,C
501,D
502,C
503,D
504,E
505,E
506,E
507,E
508,A
509,E
510,E
511,E
512,E
513,E
514,E
515,E
516,E
517,E
518,E
519,C
520,D
521,C
522,D
523,B
524,C
525,B
526,C
528,C
529,C
530,C
531,C
532,B
533,B
534,B
535,B
536,C
537,C
538,B
539,C
540,B
541,C
542,B
543,C
544,D
545,D
546,B
547,D
548,B
549,B
550,B
551,B
552,D
553,D
554,C
555,C
556,C
557,C
558,D
559,E
560,C
561,D
562,D
563,D
564,C
565,D
566,C
567,C
568,D
569,D
570,D
571,D
572,D
573,D
574,D
575,D
576,C
577,C
578,C
579,C
580,B
581,B
582,D
583,E
584,C
585,D
586,C
587,D
588,B
589,C
590,D
591,D
592,D
593,D
594,D
595,D
596,D
597,B
598,B
599,B
600,B
601,C
602,C
603,C
604,C
605,B
606,B
607,C
608,E
609,E
610,D
611,E
612,E
613,E
614,E
615,E
616,D
617,D
618,C
619,E
620,E
621,E
622,E
623,D
624,E
625,C
626,E
627,E
628,D
629,D
630,D
631,D
632,E
633,E
634,E
635,E
636,E
637,E
638,E
639,E
640,E
641,E
642,D
643,E
644,D
645,E
646,E
647,E
648,E
649,E
650,E
651,D
652,E
653,C
654,F
655,F
656,F
657,F
658,E
659,E
660,E
661,E
662,E
663,E
664,F
665,F
666,E
667,F
668,E
669,E
670,E
671,E
672,E
673,C
674,C
675,C
676,C
677,C
678,C
679,D
680,D
681,E
682,E
683,E
684,E
685,C
686,C
687,C
688,C
689,C
690,C
691,B
692,D
693,D
694,D
695,D
696,E
697,E
698,C
699,C
700,C
701,D
702,C
703,D
704,D
705,D
706,D
707,D
708,C
709,C
710,C
711,C
712,C
713,C
714,C
715,C
716,C
717,D
718,E
719,E
720,E
721,E
722,E
723,E
724,E
725,E
726,D
727,D
728,D
729,D
730,E
731,E
732,E
733,E
734,E
735,D
736,D
737,D
738,E
739,E
740,E
741,E
742,E
743,E
744,D
745,D
746,D
747,D
748,D
749,E
750,D
751,D
752,D
753,C
754,D
755,D
756,D
757,D
758,D
759,E
760,E
761,E
762,E
763,E
764,E
765,E
766,E
767,E
768,D
769,E
770,E
771,E
772,E
773,E
774,E
775,E
776,E
777,E
778,D
779,D
780,E
781,D
782,D
783,D
784,E
785,E
786,E
787,E
788,E
789,E
790,E
791,E
792,E
793,D
794,D
795,D
796,D
797,D
798,D
799,F
800,E
801,F
802,E
803,E
804,D
805,F
806,G
807,E
808,F
809,F
810,G
811,G
812,E
813,F
814,G
815,F
816,G
817,D
818,D
819,D
820,E
822,E
823,E
824,E
825,E
826,E
827,E
828,E
829,D
830,D
831,D
832,E
834,E
835,D
836,D
837,D
838,D
839,D
840,D
841,D
842,D
843,D
844,E
846,E
847,E
848,F
849,F
