,CO2
0,182.0
6,186.0
12,379.0
14,189.0
20,149.0
27,121.0
31,134.0
38,177.0
47,149.0
49,121.0
51,134.0
63,149.0
71,136.0
72,134.0
74,129.0
76,139.0
80,126.0
92,130.0
94,134.0
96,98.0
98,99.0
100,192.0
103,116.0
107,333.0
111,333.0
119,332.0
121,335.0
125,321.0
127,299.0
129,321.0
131,299.0
133,321.0
135,299.0
137,321.0
139,299.0
141,388.0
143,388.0
147,295.0
163,295.0
181,139.0
182,122.0
187,118.0
189,109.0
190,109.0
191,139.0
192,122.0
193,126.0
197,118.0
199,113.0
200,113.0
201,199.0
202,139.0
204,132.0
205,171.0
206,169.0
207,154.0
208,156.0
211,130.0
212,135.0
213,152.0
214,159.0
215,162.0
216,112.0
217,114.0
220,120.0
221,110.0
222,109.0
226,130.0
229,116.0
230,120.0
231,110.0
232,112.0
237,154.0
239,249.0
244,197.0
250,197.0
255,151.0
261,190.0
267,190.0
269,246.0
274,190.0
278,190.0
279,249.0
283,199.0
285,199.0
291,190.0
295,190.0
298,154.0
300,226.0
306,190.0
308,177.0
309,187.0
314,229.0
317,206.0
321,151.0
323,225.0
329,190.0
331,177.0
332,187.0
338,225.0
340,190.0
341,190.0
343,187.0
347,229.0
352,277.0
353,221.0
354,205.0
359,219.0
360,235.0
361,204.0
364,179.0
371,179.0
379,174.0
380,184.0
381,174.0
384,249.0
385,249.0
387,289.0
388,332.0
389,299.0
390,346.0
391,305.0
392,346.0
393,294.0
394,337.0
395,310.0
396,349.0
397,147.0
398,149.0
399,179.0
400,184.0
401,197.0
402,209.0
403,197.0
404,209.0
405,164.0
406,154.0
407,169.0
410,152.0
411,152.0
412,184.0
413,189.0
414,199.0
415,212.0
416,199.0
417,212.0
418,168.0
419,156.0
420,172.0
423,338.0
425,338.0
427,246.0
429,347.0
431,347.0
433,254.0
435,343.0
437,343.0
439,250.0
441,250.0
443,393.0
446,129.0
447,132.0
449,143.0
450,154.0
452,134.0
453,132.0
454,149.0
455,154.0
458,152.0
459,162.0
464,134.0
465,137.0
468,143.0
469,154.0
471,134.0
474,152.0
475,154.0
476,158.0
477,163.0
486,153.0
487,155.0
504,189.0
505,189.0
506,194.0
507,194.0
509,199.0
510,199.0
511,198.0
512,198.0
513,200.0
514,200.0
515,182.0
516,175.0
517,188.0
518,182.0
519,138.0
520,143.0
521,138.0
522,143.0
528,134.0
529,137.0
530,134.0
531,137.0
544,147.0
545,159.0
552,145.0
553,147.0
558,159.0
559,169.0
562,154.0
563,159.0
568,143.0
569,145.0
570,149.0
571,152.0
572,152.0
573,154.0
574,159.0
575,160.0
582,149.0
583,164.0
589,138.0
590,141.0
591,144.0
592,147.0
593,149.0
594,152.0
595,158.0
596,159.0
607,124.0
608,176.0
609,185.0
612,168.0
613,174.0
614,188.0
615,192.0
619,170.0
620,178.0
621,190.0
622,194.0
626,162.0
627,166.0
628,147.0
629,149.0
630,157.0
631,159.0
632,182.0
633,190.0
636,191.0
637,193.0
638,173.0
639,175.0
645,193.0
646,195.0
647,177.0
648,184.0
654,205.0
655,205.0
656,205.0
657,212.0
658,196.0
659,196.0
661,177.0
662,189.0
663,184.0
664,206.0
665,215.0
666,199.0
667,203.0
669,169.0
670,186.0
671,178.0
672,193.0
679,156.0
680,160.0
681,163.0
682,163.0
683,167.0
684,170.0
692,149.0
693,153.0
694,155.0
695,157.0
696,161.0
697,163.0
717,159.0
718,163.0
719,166.0
720,165.0
721,169.0
722,172.0
723,169.0
724,173.0
725,176.0
726,152.0
727,156.0
728,158.0
729,159.0
730,163.0
731,165.0
732,162.0
733,166.0
734,168.0
738,177.0
739,181.0
740,184.0
741,183.0
742,187.0
743,190.0
759,173.0
760,176.0
761,178.0
762,177.0
763,180.0
764,182.0
769,179.0
770,183.0
771,186.0
772,190.0
773,194.0
774,197.0
775,194.0
776,197.0
777,199.0
784,177.0
785,180.0
786,183.0
787,188.0
788,192.0
789,194.0
790,185.0
791,188.0
792,190.0
799,209.0
801,216.0
805,249.0
806,250.0
808,242.0
809,243.0
810,256.0
811,257.0
813,214.0
814,263.0
815,224.0
816,275.0
820,189.0
822,193.0
823,177.0
824,179.0
825,181.0
826,181.0
827,183.0
828,185.0
832,188.0
834,191.0
844,192.0
846,195.0
847,199.0
848,206.0
849,215.0
850,219.0
851,245.0
852,246.0
853,262.0
854,263.0
855,248.0
856,249.0
857,266.0
858,267.0
859,213.0
860,217.0
861,199.0
862,206.0
863,217.0
864,221.0
865,208.0
866,214.0
872,232.0
873,235.0
876,184.0
879,184.0
880,266.0
881,266.0
882,278.0
883,278.0
884,199.0
885,217.0
887,199.0
889,219.0
890,299.0
891,303.0
894,290.0
895,297.0
896,269.0
898,263.0
899,232.0
900,232.0
909,195.0
910,191.0
911,165.0
912,165.0
913,183.0
914,183.0
917,177.0
918,179.0
939,175.0
940,184.0
941,210.0
942,204.0
949,325.0
950,236.0
951,292.0
961,159.0
962,159.0
963,159.0
964,159.0
965,159.0
966,159.0
967,210.0
968,219.0
969,210.0
970,195.0
974,191.0
977,199.0
986,240.0
987,240.0
988,241.0
989,247.0
990,246.0
991,365.0
992,336.0
993,250.0
994,250.0
995,245.0
996,250.0
997,370.0
998,343.0
999,255.0
1000,255.0
1001,365.0
1002,336.0
1003,339.0
1006,268.0
1012,267.0
1014,138.0
1015,129.0
1016,147.0
1017,125.0
1020,138.0
1021,129.0
1022,145.0
1023,125.0
1026,329.0
1027,304.0
1028,329.0
1029,304.0
1034,325.0
1036,342.0
1037,331.0
1038,315.0
1039,293.0
1040,321.0
1041,293.0
1042,315.0
1043,293.0
1044,321.0
1045,293.0
1046,325.0
1047,155.0
1051,134.0
1052,155.0
1056,151.0
1060,136.0
1063,164.0
1067,149.0
1068,119.0
1069,119.0
1070,149.0
1071,153.0
1072,180.0
1077,155.0
1078,169.0
1087,102.0
1088,104.0
1089,99.0
1090,102.0
1091,104.0
1092,99.0
1093,138.0
1094,136.0
1095,155.0
1096,150.0
1097,136.0
1098,134.0
1099,127.0
1100,129.0
1115,107.0
1116,104.0
1117,102.0
1118,102.0
1119,99.0
1120,145.0
1121,149.0
1122,137.0
1123,132.0
1124,145.0
1125,140.0
1132,146.0
1133,143.0
1134,162.0
1135,159.0
1136,145.0
1137,148.0
1138,143.0
1139,140.0
1155,137.0
1156,133.0
1157,145.0
1158,142.0
1159,139.0
1177,163.0
1178,159.0
1188,144.0
1189,153.0
1190,169.0
1198,149.0
1199,155.0
1200,169.0
1210,149.0
1211,138.0
1212,136.0
1213,155.0
1214,150.0
1215,135.0
1216,136.0
1217,134.0
1218,127.0
1219,129.0
1229,107.0
1230,104.0
1231,102.0
1232,136.0
1233,154.0
1234,137.0
1236,112.0
1237,109.0
1238,178.0
1239,144.0
1240,149.0
1248,155.0
1249,169.0
1250,165.0
1282,152.0
1283,152.0
1284,135.0
1285,168.0
1300,131.0
1301,161.0
1303,135.0
1304,161.0
1309,116.0
1310,135.0
1313,116.0
1314,124.0
1315,135.0
1366,275.0
1367,307.0
1370,275.0
1371,307.0
1374,270.0
1375,299.0
1378,299.0
1379,270.0
1382,350.0
1383,380.0
1384,380.0
1385,360.0
1387,118.0
1388,110.0
1390,110.0
1391,115.0
1393,119.0
1396,113.0
1400,104.0
1420,110.0
1422,140.0
1423,140.0
1424,135.0
1426,135.0
1427,130.0
1429,149.0
1431,140.0
1434,135.0
1436,155.0
1437,155.0
1440,92.0
1441,92.0
1442,90.0
1443,95.0
1445,92.0
1446,97.0
1447,97.0
1448,95.0
1449,95.0
1450,118.0
1451,110.0
1453,115.0
1455,119.0
1457,113.0
1458,110.0
1460,140.0
1461,135.0
1463,135.0
1464,130.0
1466,149.0
1467,140.0
1470,135.0
1474,92.0
1475,92.0
1476,90.0
1477,95.0
1479,92.0
1493,145.0
1495,149.0
1496,112.0
1500,109.0
1506,119.0
1513,146.0
1530,146.0
1551,132.0
1557,166.0
1559,166.0
1560,172.0
1562,171.0
1563,177.0
1626,169.0
1791,152.0
1797,262.0
1798,262.0
1799,110.0
1801,139.0
1820,120.0
1902,105.0
1904,97.0
1906,114.0
1914,124.0
1931,132.0
1935,133.0
1937,126.0
1939,98.0
1940,124.0
1957,132.0
1961,133.0
1963,126.0
1965,98.0
1978,165.0
1979,155.0
1980,143.0
1981,141.0
1989,149.0
1994,149.0
1995,114.0
1996,139.0
1999,144.0
2000,144.0
2001,117.0
2002,117.0
2012,138.0
2013,138.0
2014,138.0
2015,99.0
2017,99.0
2018,99.0
2019,99.0
2020,99.0
2021,99.0
2022,120.0
2023,120.0
2024,120.0
2025,120.0
2033,137.0
2034,137.0
2035,137.0
2036,137.0
2037,137.0
2038,137.0
2039,114.0
2040,117.0
2041,117.0
2042,109.0
2043,112.0
2044,112.0
2051,146.0
2052,146.0
2053,146.0
2054,169.0
2055,169.0
2077,136.0
2078,139.0
2079,139.0
2080,167.0
2084,189.0
2089,149.0
2091,149.0
2093,119.0
2095,119.0
2115,115.0
2117,154.0
2118,179.0
2124,149.0
2126,149.0
2136,179.0
2138,179.0
2151,159.0
2155,189.0
2156,194.0
2290,195.0
2298,199.0
2306,128.0
2307,129.0
2308,131.0
2309,136.0
2310,145.0
2311,148.0
2312,150.0
2315,193.0
2316,168.0
2317,175.0
2318,179.0
2330,129.0
2331,126.0
2332,123.0
2341,235.0
2342,110.0
2343,129.0
2344,108.0
2345,140.0
2349,114.0
2352,139.0
2359,143.0
2368,149.0
2373,149.0
2378,140.0
2379,154.0
2383,149.0
2390,142.0
2391,142.0
2392,157.0
2394,265.0
2395,265.0
2396,263.0
2397,282.0
2398,307.0
2403,246.0
2404,248.0
2405,246.0
2406,248.0
2407,255.0
2408,246.0
2409,248.0
2410,246.0
2411,248.0
2412,264.0
2413,275.0
2414,235.0
2415,235.0
2419,234.0
2420,209.0
2421,213.0
2422,259.0
2423,270.0
2425,283.0
2426,270.0
2433,207.0
2434,224.0
2435,229.0
2442,270.0
2443,270.0
2450,224.0
2451,224.0
2452,234.0
2453,234.0
2454,292.0
2456,292.0
2457,292.0
2459,292.0
2460,264.0
2461,264.0
2462,328.0
2474,224.0
2475,322.0
2477,322.0
2501,199.0
2508,199.0
2509,298.0
2510,298.0
2511,249.0
2512,249.0
2528,327.0
2529,329.0
2535,328.0
2541,327.0
2561,256.0
2562,263.0
2584,265.0
2585,273.0
2595,149.0
2596,154.0
2601,149.0
2602,154.0
2604,140.0
2610,130.0
2611,135.0
2612,140.0
2614,140.0
2620,144.0
2621,134.0
2622,138.0
2626,99.0
2627,99.0
2628,125.0
2629,105.0
2630,109.0
2631,100.0
2640,150.0
2641,128.0
2642,130.0
2643,114.0
2644,114.0
2651,149.0
2662,149.0
2665,140.0
2667,139.0
2668,154.0
2669,225.0
2678,155.0
2696,150.0
2697,150.0
2698,370.0
2699,370.0
2700,341.0
2701,341.0
2702,315.0
2703,315.0
2704,351.0
2705,325.0
2706,354.0
2707,330.0
2708,354.0
2709,330.0
2710,344.0
2711,319.0
2712,350.0
2713,327.0
2714,146.0
2740,221.0
2742,130.0
2743,140.0
2746,219.0
2747,227.0
2748,229.0
2754,252.0
2755,115.0
2756,120.0
2759,97.0
2760,95.0
2762,99.0
2763,97.0
2810,207.0
2811,209.0
2812,211.0
2819,270.0
2841,194.0
2851,213.0
2858,379.0
2860,379.0
2866,379.0
2868,379.0
2886,261.0
2888,249.0
2890,249.0
2897,274.0
2899,263.0
2921,250.0
2940,149.0
2941,175.0
2944,217.0
2948,210.0
2952,229.0
2956,224.0
2960,236.0
2961,236.0
2966,337.0
2967,337.0
2969,330.0
2970,360.0
2971,337.0
2972,331.0
2973,274.0
2974,350.0
2975,350.0
2977,368.0
2979,350.0
2981,350.0
2983,368.0
2985,368.0
2987,132.0
2988,115.0
2989,132.0
2990,145.0
2992,115.0
2993,115.0
2994,219.0
2996,175.0
2997,157.0
2999,144.0
3000,168.0
3001,159.0
3003,148.0
3011,135.0
3019,150.0
3027,136.0
3101,159.0
3102,176.0
3105,139.0
3129,155.0
3137,155.0
3177,167.0
3178,181.0
3179,188.0
3180,161.0
3182,165.0
3204,280.0
3206,280.0
3208,280.0
3216,285.0
3218,285.0
3220,285.0
3222,235.0
3226,248.0
3230,235.0
3234,248.0
3238,231.0
3242,243.0
3246,231.0
3250,243.0
3254,230.0
3259,230.0
3266,242.0
3268,230.0
3272,232.0
3280,242.0
3282,234.0
3290,234.0
3302,246.0
3304,234.0
3312,246.0
3314,276.0
3316,276.0
3322,231.0
3324,231.0
3326,270.0
3328,195.0
3330,308.0
3336,321.0
3338,308.0
3346,308.0
3350,308.0
3418,128.0
3419,133.0
3420,135.0
3422,129.0
3438,127.0
3440,131.0
3442,133.0
3446,128.0
3472,120.0
3526,129.0
3527,134.0
3528,136.0
3532,127.0
3534,131.0
3536,133.0
3561,156.0
3562,159.0
3565,143.0
3568,145.0
3571,148.0
3581,161.0
3582,165.0
3725,137.0
3727,138.0
3729,141.0
3731,144.0
3753,137.0
3754,135.0
3755,138.0
3756,136.0
3757,141.0
3759,145.0
3760,139.0
3907,138.0
3909,141.0
3911,144.0
3919,138.0
3920,136.0
3921,141.0
3922,137.0
3923,145.0
3924,139.0
3931,137.0
3945,135.0
4003,145.0
4004,147.0
4019,136.0
4021,138.0
4023,141.0
4025,142.0
4027,149.0
4063,136.0
4065,138.0
4067,140.0
4069,142.0
4071,147.0
4195,136.0
4197,138.0
4199,142.0
4201,149.0
4227,136.0
4229,138.0
4231,142.0
4233,147.0
4259,139.0
4261,142.0
4263,144.0
4265,150.0
4283,139.0
4285,141.0
4287,145.0
4289,149.0
4443,154.0
4444,157.0
4445,160.0
4446,168.0
4455,150.0
4456,152.0
4457,156.0
4458,161.0
4467,154.0
4468,160.0
4469,168.0
4477,152.0
4478,158.0
4479,163.0
4535,160.0
4536,164.0
4537,167.0
4538,177.0
4547,155.0
4548,156.0
4549,159.0
4550,162.0
4919,150.0
4920,152.0
4921,156.0
4922,161.0
5015,152.0
5016,158.0
5017,163.0
5147,155.0
5148,156.0
5149,159.0
5150,162.0
5191,159.0
5193,164.0
5207,174.0
5209,178.0
5223,159.0
5225,164.0
5263,165.0
5265,170.0
5279,280.0
5283,280.0
5288,280.0
5292,280.0
5295,285.0
5299,285.0
5315,224.0
5318,227.0
5321,232.0
5333,237.0
5336,238.0
5339,242.0
5351,322.0
5353,324.0
5355,328.0
5363,244.0
5367,244.0
5371,334.0
5375,118.0
5379,126.0
5381,128.0
5383,130.0
5397,127.0
5399,129.0
5401,131.0
5415,122.0
5417,126.0
5419,129.0
5464,142.0
5466,144.0
5524,169.0
5526,170.0
5528,172.0
5586,159.0
5587,159.0
5589,161.0
5590,161.0
5592,164.0
5604,214.0
5605,216.0
5608,229.0
5610,231.0
5616,209.0
5624,224.0
5626,226.0
5632,235.0
5634,248.0
5636,248.0
5638,231.0
5640,243.0
5642,243.0
5644,142.0
5645,147.0
5646,150.0
5656,130.0
5657,136.0
5658,140.0
5668,160.0
5669,164.0
5670,167.0
5680,149.0
5681,156.0
5682,161.0
5692,150.0
5693,152.0
5706,142.0
5707,146.0
5708,148.0
5720,168.0
5721,173.0
5728,157.0
5729,162.0
5731,164.0
5738,142.0
5739,145.0
5740,151.0
5762,135.0
5763,138.0
5764,142.0
6010,165.0
6012,168.0
6014,172.0
6074,152.0
6076,155.0
6078,160.0
6138,149.0
6139,153.0
6140,157.0
6152,139.0
6153,142.0
6154,145.0
6250,180.0
6252,183.0
6254,178.0
6270,175.0
6286,159.0
6288,162.0
6290,163.0
6774,132.0
6775,138.0
6776,142.0
6834,149.0
6835,156.0
6836,161.0
6846,144.0
6847,148.0
6848,150.0
6908,157.0
6909,162.0
6911,164.0
6918,135.0
6919,138.0
6920,142.0
6921,142.0
7146,154.0
7148,157.0
7150,162.0
7178,141.0
7179,144.0
7180,147.0
7382,159.0
7384,162.0
7386,163.0
7448,164.0
7449,166.0
7452,167.0
7460,160.0
7461,164.0
7462,166.0
7474,168.0
7475,173.0
7477,175.0
7484,169.0
7485,175.0
7542,159.0
7543,161.0
7545,164.0
7573,174.0
7575,176.0
7639,165.0
7641,168.0
7643,169.0
7667,184.0
7669,186.0
7713,164.0
7714,166.0
7717,167.0
7725,160.0
7726,164.0
7727,166.0
7753,168.0
7754,173.0
7756,175.0
7763,169.0
7764,175.0
7888,164.0
7985,174.0
7987,176.0
8105,165.0
8106,168.0
8108,169.0
8187,184.0
8189,186.0
8227,172.0
8228,176.0
8229,177.0
8241,178.0
8242,185.0
8255,175.0
8256,185.0
8267,189.0
8268,199.0
8279,183.0
8280,184.0
8289,197.0
8290,205.0
8299,209.0
8301,209.0
8303,213.0
8307,213.0
8311,209.0
8327,209.0
8335,219.0
8347,216.0
8355,216.0
8359,222.0
8365,230.0
8381,230.0
8397,230.0
8409,242.0
8413,234.0
8421,234.0
8429,246.0
8431,246.0
8442,348.0
8444,348.0
