,CO2
1,136.0
2,134.0
4,139.0
7,139.0
8,137.0
10,142.0
16,142.0
18,142.0
40,114.0
42,119.0
44,124.0
53,119.0
55,124.0
57,119.0
61,119.0
67,114.0
69,114.0
78,104.0
82,95.0
86,90.0
90,88.0
101,142.0
102,142.0
184,110.0
185,99.0
186,99.0
188,108.0
194,110.0
195,99.0
196,99.0
198,108.0
203,114.0
209,134.0
210,119.0
218,102.0
219,99.0
223,117.0
224,106.0
225,122.0
227,102.0
228,99.0
233,119.0
234,108.0
235,122.0
238,154.0
241,126.0
242,144.0
243,139.0
245,116.0
246,123.0
247,154.0
249,135.0
251,156.0
252,153.0
253,159.0
256,152.0
258,120.0
259,139.0
260,134.0
262,112.0
263,117.0
264,149.0
266,133.0
268,151.0
271,120.0
272,139.0
273,134.0
275,149.0
277,133.0
281,127.0
282,142.0
286,152.0
288,120.0
289,139.0
290,134.0
292,152.0
294,133.0
299,156.0
302,132.0
304,132.0
305,166.0
310,156.0
311,152.0
313,139.0
315,165.0
316,176.0
318,165.0
319,159.0
322,156.0
325,129.0
327,129.0
328,166.0
333,156.0
334,149.0
336,139.0
337,156.0
339,166.0
344,156.0
345,152.0
350,198.0
351,171.0
355,158.0
356,171.0
357,195.0
358,169.0
362,158.0
363,169.0
365,137.0
366,152.0
367,149.0
368,144.0
369,156.0
370,148.0
373,169.0
374,169.0
375,154.0
376,179.0
377,139.0
378,154.0
382,242.0
383,189.0
386,195.0
408,144.0
409,139.0
421,146.0
422,144.0
445,112.0
448,112.0
451,118.0
456,119.0
457,117.0
460,127.0
461,145.0
462,118.0
463,140.0
466,119.0
467,140.0
472,119.0
473,118.0
478,132.0
479,145.0
480,124.0
481,140.0
482,119.0
483,122.0
484,123.0
485,126.0
488,125.0
489,140.0
490,123.0
491,126.0
492,116.0
493,119.0
494,119.0
495,122.0
496,126.0
497,129.0
498,139.0
499,149.0
500,134.0
501,145.0
502,135.0
503,145.0
508,99.0
523,119.0
524,123.0
525,119.0
526,123.0
532,116.0
533,117.0
534,114.0
535,118.0
536,127.0
537,129.0
538,119.0
539,122.0
540,119.0
541,123.0
542,119.0
543,123.0
546,120.0
547,142.0
548,117.0
549,118.0
550,116.0
551,118.0
554,129.0
555,131.0
556,129.0
557,131.0
560,135.0
561,149.0
564,137.0
565,150.0
566,125.0
567,140.0
576,129.0
577,133.0
578,129.0
579,133.0
580,112.0
581,112.0
584,128.0
585,142.0
586,140.0
587,153.0
588,114.0
597,117.0
598,118.0
599,119.0
600,120.0
601,124.0
602,125.0
603,127.0
604,128.0
605,109.0
606,109.0
610,160.0
611,168.0
616,151.0
617,160.0
618,134.0
623,153.0
624,163.0
625,129.0
634,162.0
635,170.0
640,171.0
641,178.0
642,152.0
643,164.0
644,142.0
649,174.0
650,181.0
651,155.0
652,165.0
653,137.0
660,174.0
668,176.0
673,129.0
674,133.0
675,136.0
676,130.0
677,134.0
678,137.0
685,123.0
686,127.0
687,129.0
688,125.0
689,128.0
690,130.0
691,119.0
698,139.0
699,135.0
700,139.0
701,142.0
702,138.0
703,142.0
704,145.0
705,143.0
706,147.0
707,150.0
708,134.0
709,138.0
710,140.0
711,126.0
712,130.0
713,132.0
714,132.0
715,136.0
716,138.0
735,149.0
736,153.0
737,156.0
744,145.0
745,149.0
746,152.0
747,155.0
748,159.0
749,162.0
750,146.0
751,149.0
752,152.0
753,139.0
754,143.0
755,145.0
756,149.0
757,153.0
758,155.0
765,173.0
766,183.0
767,163.0
768,153.0
778,156.0
779,159.0
780,163.0
781,148.0
782,152.0
783,155.0
793,142.0
794,146.0
795,148.0
796,149.0
797,154.0
798,156.0
800,175.0
802,187.0
803,168.0
804,154.0
807,169.0
812,165.0
817,152.0
818,154.0
819,158.0
829,143.0
830,144.0
831,145.0
835,147.0
836,148.0
837,149.0
838,149.0
839,152.0
840,153.0
841,154.0
842,157.0
843,158.0
867,178.0
868,180.0
869,148.0
870,158.0
871,148.0
874,183.0
875,181.0
877,159.0
878,149.0
886,169.0
888,169.0
915,145.0
916,154.0
919,155.0
920,136.0
921,155.0
922,139.0
923,132.0
924,128.0
925,132.0
926,129.0
927,164.0
928,150.0
929,164.0
930,153.0
931,167.0
932,158.0
933,143.0
934,144.0
935,143.0
936,145.0
937,128.0
938,119.0
943,142.0
944,135.0
945,147.0
946,149.0
947,159.0
948,162.0
952,195.0
953,198.0
954,199.0
960,204.0
1018,99.0
1019,95.0
1024,97.0
1025,95.0
1030,198.0
1031,164.0
1032,208.0
1033,170.0
1048,164.0
1049,126.0
1050,117.0
1053,164.0
1054,126.0
1055,117.0
1057,164.0
1058,126.0
1059,119.0
1061,160.0
1062,125.0
1064,169.0
1065,139.0
1066,139.0
1073,129.0
1074,120.0
1075,139.0
1079,134.0
1080,135.0
1081,135.0
1082,123.0
1083,120.0
1084,144.0
1085,144.0
1101,87.0
1102,99.0
1103,95.0
1104,118.0
1105,114.0
1106,109.0
1107,99.0
1108,107.0
1109,104.0
1110,95.0
1111,99.0
1112,95.0
1113,90.0
1114,98.0
1126,127.0
1127,119.0
1128,107.0
1129,105.0
1130,109.0
1131,112.0
1140,97.0
1141,95.0
1142,100.0
1143,98.0
1144,95.0
1145,101.0
1146,109.0
1147,106.0
1148,104.0
1149,130.0
1150,127.0
1151,141.0
1152,146.0
1153,119.0
1154,129.0
1160,105.0
1161,105.0
1162,104.0
1163,110.0
1164,98.0
1165,137.0
1166,135.0
1167,137.0
1168,130.0
1169,136.0
1170,120.0
1171,139.0
1172,132.0
1173,135.0
1174,137.0
1175,140.0
1176,139.0
1179,135.0
1180,132.0
1181,133.0
1182,126.0
1183,132.0
1184,120.0
1185,137.0
1186,130.0
1187,155.0
1191,117.0
1192,125.0
1193,130.0
1194,129.0
1195,163.0
1196,189.0
1197,159.0
1201,117.0
1202,125.0
1203,134.0
1204,133.0
1205,163.0
1206,189.0
1207,155.0
1208,155.0
1209,189.0
1220,118.0
1221,114.0
1222,109.0
1223,99.0
1224,95.0
1225,99.0
1226,95.0
1227,90.0
1228,98.0
1235,99.0
1241,122.0
1242,110.0
1243,110.0
1244,114.0
1245,113.0
1246,130.0
1247,149.0
1251,114.0
1254,133.0
1255,129.0
1257,158.0
1258,154.0
1259,187.0
1260,184.0
1261,184.0
1262,189.0
1263,189.0
1264,179.0
1265,172.0
1266,172.0
1267,199.0
1268,179.0
1269,172.0
1270,172.0
1271,199.0
1272,179.0
1273,172.0
1274,172.0
1275,172.0
1276,179.0
1277,172.0
1278,172.0
1279,119.0
1280,107.0
1281,119.0
1286,118.0
1287,118.0
1296,132.0
1297,130.0
1298,135.0
1299,126.0
1302,116.0
1305,116.0
1306,109.0
1307,109.0
1308,99.0
1311,99.0
1312,99.0
1316,99.0
1317,105.0
1326,150.0
1327,139.0
1328,139.0
1329,154.0
1330,148.0
1332,139.0
1333,134.0
1334,119.0
1336,229.0
1337,195.0
1338,195.0
1339,195.0
1340,195.0
1341,195.0
1342,195.0
1343,195.0
1344,195.0
1345,199.0
1346,199.0
1347,199.0
1348,229.0
1349,229.0
1363,199.0
1365,199.0
1421,110.0
1438,104.0
1459,110.0
1472,104.0
1480,105.0
1482,109.0
1484,105.0
1485,110.0
1489,114.0
1491,110.0
1508,117.0
1510,122.0
1532,129.0
1536,115.0
1537,120.0
1541,129.0
1545,125.0
1546,122.0
1547,139.0
1553,135.0
1555,135.0
1564,138.0
1565,138.0
1568,145.0
1569,150.0
1570,158.0
1571,150.0
1572,150.0
1575,156.0
1576,157.0
1577,163.0
1628,133.0
1629,133.0
1630,145.0
1631,138.0
1632,138.0
1633,148.0
1636,145.0
1637,150.0
1638,158.0
1644,141.0
1645,152.0
1646,163.0
1647,186.0
1649,173.0
1651,186.0
1653,180.0
1659,173.0
1661,167.0
1666,186.0
1668,173.0
1670,186.0
1672,180.0
1676,173.0
1678,167.0
1682,207.0
1684,181.0
1686,210.0
1688,184.0
1690,182.0
1692,166.0
1696,186.0
1698,186.0
1699,186.0
1700,180.0
1702,186.0
1704,186.0
1706,186.0
1707,180.0
1712,180.0
1715,180.0
1716,180.0
1718,174.0
1722,186.0
1724,186.0
1725,180.0
1727,186.0
1729,186.0
1730,180.0
1734,180.0
1736,180.0
1737,180.0
1741,174.0
1747,207.0
1749,207.0
1750,210.0
1752,210.0
1754,182.0
1756,182.0
1757,174.0
1759,186.0
1760,186.0
1762,180.0
1765,186.0
1766,186.0
1767,180.0
1769,182.0
1786,107.0
1788,119.0
1789,119.0
1790,107.0
1792,169.0
1793,169.0
1794,169.0
1795,169.0
1796,194.0
1802,128.0
1908,104.0
1910,109.0
1912,125.0
1932,112.0
1934,110.0
1936,90.0
1958,112.0
1960,110.0
1962,90.0
1966,183.0
1968,183.0
1970,183.0
1972,183.0
1974,183.0
1976,183.0
