,CO2
0,182.0
1,136.0
2,134.0
4,139.0
6,186.0
7,139.0
8,137.0
10,142.0
12,379.0
14,189.0
16,142.0
18,142.0
20,149.0
27,121.0
31,134.0
38,177.0
40,114.0
42,119.0
44,124.0
47,149.0
49,121.0
51,134.0
53,119.0
55,124.0
57,119.0
61,119.0
63,149.0
67,114.0
69,114.0
71,136.0
72,134.0
74,129.0
76,139.0
78,104.0
80,126.0
82,95.0
86,90.0
90,88.0
92,130.0
94,134.0
96,98.0
98,99.0
100,192.0
101,142.0
102,142.0
103,116.0
107,333.0
111,333.0
119,332.0
121,335.0
125,321.0
127,299.0
129,321.0
131,299.0
133,321.0
135,299.0
137,321.0
139,299.0
141,388.0
143,388.0
147,295.0
163,295.0
181,139.0
182,122.0
184,110.0
185,99.0
186,99.0
187,118.0
188,108.0
189,109.0
190,109.0
191,139.0
192,122.0
193,126.0
194,110.0
195,99.0
196,99.0
197,118.0
198,108.0
199,113.0
200,113.0
201,199.0
202,139.0
203,114.0
204,132.0
205,171.0
206,169.0
207,154.0
208,156.0
209,134.0
210,119.0
211,130.0
212,135.0
213,152.0
214,159.0
215,162.0
216,112.0
217,114.0
218,102.0
219,99.0
220,120.0
221,110.0
222,109.0
223,117.0
224,106.0
225,122.0
226,130.0
227,102.0
228,99.0
229,116.0
230,120.0
231,110.0
232,112.0
233,119.0
234,108.0
235,122.0
237,154.0
238,154.0
239,249.0
241,126.0
242,144.0
243,139.0
244,197.0
245,116.0
246,123.0
247,154.0
249,135.0
250,197.0
251,156.0
252,153.0
253,159.0
255,151.0
256,152.0
258,120.0
259,139.0
260,134.0
261,190.0
262,112.0
263,117.0
264,149.0
266,133.0
267,190.0
268,151.0
269,246.0
271,120.0
272,139.0
273,134.0
274,190.0
275,149.0
277,133.0
278,190.0
279,249.0
281,127.0
282,142.0
283,199.0
285,199.0
286,152.0
288,120.0
289,139.0
290,134.0
291,190.0
292,152.0
294,133.0
295,190.0
298,154.0
299,156.0
300,226.0
302,132.0
304,132.0
305,166.0
306,190.0
308,177.0
309,187.0
310,156.0
311,152.0
313,139.0
314,229.0
315,165.0
316,176.0
317,206.0
318,165.0
319,159.0
321,151.0
322,156.0
323,225.0
325,129.0
327,129.0
328,166.0
329,190.0
331,177.0
332,187.0
333,156.0
334,149.0
336,139.0
337,156.0
338,225.0
339,166.0
340,190.0
341,190.0
343,187.0
344,156.0
345,152.0
347,229.0
350,198.0
351,171.0
352,277.0
353,221.0
354,205.0
355,158.0
356,171.0
357,195.0
358,169.0
359,219.0
360,235.0
361,204.0
362,158.0
363,169.0
364,179.0
365,137.0
366,152.0
367,149.0
368,144.0
369,156.0
370,148.0
371,179.0
373,169.0
374,169.0
375,154.0
376,179.0
377,139.0
378,154.0
379,174.0
380,184.0
381,174.0
382,242.0
383,189.0
384,249.0
385,249.0
386,195.0
387,289.0
388,332.0
389,299.0
390,346.0
391,305.0
392,346.0
393,294.0
394,337.0
395,310.0
396,349.0
397,147.0
398,149.0
399,179.0
400,184.0
401,197.0
402,209.0
403,197.0
404,209.0
405,164.0
406,154.0
407,169.0
408,144.0
409,139.0
410,152.0
411,152.0
412,184.0
413,189.0
414,199.0
415,212.0
416,199.0
417,212.0
418,168.0
419,156.0
420,172.0
421,146.0
422,144.0
423,338.0
425,338.0
427,246.0
429,347.0
431,347.0
433,254.0
435,343.0
437,343.0
439,250.0
441,250.0
443,393.0
445,112.0
446,129.0
447,132.0
448,112.0
